,coefficient,odds_ratio
Intercept,-3.384502725916869,0.03389449300856213
C(phase)[T.Middle],-0.7056854673894809,0.49376999499740376
C(phase)[T.Powerplay],-0.12426230963755829,0.883148152225275
C(phase)[T.Unknown],-0.07234448559946975,0.930210396524601
C(inning)[T.2.0],-0.08316076938146895,0.9202031948288778
C(match_stage)[T.final],-0.05872583886051802,0.9429652581513287
C(match_stage)[T.group],-0.14206017013807798,0.8675690531656681
C(match_stage)[T.quarter_final],-0.24758308190660816,0.7806853572885258
C(match_stage)[T.semi_final],-0.23058078747272456,0.7940722813180915
C(match_stage)[T.super_eight],-0.15143441716071754,0.8594742471860418
C(match_stage)[T.super_six],-0.2584792497034836,0.7722250547817998
pi_composite_1to10_learnedcurve,-0.14115916429176031,0.8683510902117244
wickets_lost,0.46966440120920044,1.5994573271916634
balls_bowled,-0.0045001490930601405,0.995509961405933
