,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,1.2693744534672369,0.059064520432159685,21.491319055493133,2.8442108161679445e-102,1.1536090308768854,1.3851398760575884
C(phase)[T.Middle],-0.4066606115803588,0.016112968946284566,-25.238093174264403,3.367870433832493e-140,-0.43824174769394697,-0.3750794754667707
C(phase)[T.Powerplay],-0.3928169539338021,0.024653815507396988,-15.933312789492708,4.221344781585761e-57,-0.4411379992888811,-0.34449590857872314
C(phase)[T.Unknown],-0.2043847010104178,0.09100289134016473,-2.2459143660220304,0.024711184488507804,-0.38274876958925763,-0.026020632431577984
C(inning)[T.2.0],0.019229888281675444,0.007162869447050888,2.68466267936697,0.007261234678286496,0.005190789979848363,0.033268986583502524
C(match_stage)[T.final],-0.0034567188664996057,0.05857935362047765,-0.05900916710168746,0.9529448982515667,-0.11827122302781398,0.11135778529481477
C(match_stage)[T.group],-0.029526039660247753,0.052063088609657526,-0.5671204004360735,0.5706333736566582,-0.13156877885726764,0.07251669953677213
C(match_stage)[T.quarter_final],-0.07360121590727642,0.05758151835180463,-1.2782090159136923,0.2011780454533987,-0.18645998046877188,0.03925754865421903
C(match_stage)[T.semi_final],-0.06133228013501142,0.05435848501943301,-1.128292668809392,0.25919844388840474,-0.16787395597700489,0.045209395706982056
C(match_stage)[T.super_eight],-0.09373257410702877,0.05315865648197458,-1.7632607802797329,0.0778588917675605,-0.19792260709035592,0.010457458876298384
C(match_stage)[T.super_six],-0.10764098877571168,0.05507419292462049,-1.9544723773444823,0.05064754271551876,-0.21558543954060408,0.00030346198918071443
pi_composite_1to10_learnedcurve,-0.09435694667174699,0.0031306899168486585,-30.13934601569432,7.330527241056472e-199,-0.10049304391881789,-0.08822084942467609
wickets_lost,-0.04555285199682021,0.0027112446871515095,-16.80145366911866,2.782864079882459e-63,-0.05086684396115763,-0.04023886003248279
balls_bowled,0.0030474317051161106,9.178105374249619e-05,33.20327650264379,1.0165080762244928e-240,0.0028675424518969706,0.0032273209583352507
