batter,balls_faced,actual_runs_per_ball,expected_runs_per_ball,pressure_adjusted_performance
Shaiman Anwar,51,1.4313725490196079,0.7293362967298938,0.7020362522897141
Imad Wasim,53,1.2452830188679245,0.6626029480372436,0.5826800708306807
LMP Simmons,59,1.423728813559322,0.8731023248706242,0.5506264886886978
RN ten Doeschate,72,1.3194444444444444,0.8329461977240372,0.48649824672040737
DJG Sammy,58,1.3448275862068966,0.9140058060455941,0.43082178016130246
PW Borren,68,1.3235294117647058,0.899084435412231,0.42444497635247486
CH Morris,52,1.2115384615384615,0.8222805017709282,0.3892579597675334
Amjad Javed,93,1.10752688172043,0.7304594505597822,0.37706743116064795
E Chigumbura,111,1.1081081081081081,0.7402247444663785,0.3678833636417296
JP Duminy,87,1.4137931034482758,1.0500587284516554,0.3637343749966204
